33.4659348,-1.00000000,26.9551315
24.1409550,-1.00000000,15.1025467
24.2610779,-1.00000000,13.0198545
40.5439835,-1.00000000,7.32275009
41.1132545,-1.00000000,-0.655645847
37.8791962,-1.00000000,-8.18501663
38.1300392,-1.00000000,-11.7453518
22.8636093,-1.00000000,-22.5913792
21.8368626,-1.00000000,-26.6393986
43.1594810,-1.00000000,-30.9800720
38.2615013,-1.00000000,-36.8644676
41.4560661,-1.00000000,-42.8194809
29.7490234,-1.00000000,-36.9325371
27.4455643,-1.00000000,-36.7148170
9.03404999,-1.00000000,-43.0680923
9.25107574,-1.00000000,-32.3907394
-5.41616488,-1.00000000,-42.4981346
-31.2529068,-1.00000000,-35.1522141
-28.9172783,-1.00000000,-38.2688217
-26.2378979,-1.00000000,-40.2519112
